due_date,amount_due,paid_date,amount_paid,tenant_name
2025-10-01,2340.00,2025-10-01,2340.00,Jane Citizen
2025-11-01,2340.00,2025-11-01,2340.00,Jane Citizen
2025-12-01,2340.00,2025-12-03,2340.00,Jane Citizen
2026-01-01,2340.00,2026-01-01,2340.00,Jane Citizen
2026-02-01,2340.00,2026-02-01,2340.00,Jane Citizen
2026-03-01,2340.00,2026-03-01,2340.00,Jane Citizen
2026-04-01,2340.00,2026-04-01,2340.00,Jane Citizen
2026-05-01,2340.00,2026-05-01,2340.00,Jane Citizen
2026-06-01,2340.00,2026-06-01,2340.00,Jane Citizen
2026-07-01,2340.00,2026-07-01,2340.00,Jane Citizen
2026-08-01,2340.00,2026-08-01,2340.00,Jane Citizen
2026-09-01,2340.00,2026-09-01,2340.00,Jane Citizen
